generation	best_fitness	mean_fitness
0	4.087419851521189e-06	2.1795809101029537e-06
1	1.111018256869438e-05	4.096881792562403e-06
2	1.6580962477369672e-05	7.5216423195779475e-06
3	3.380234177001904e-05	1.4212328285729691e-05
4	4.418704956582138e-05	2.29856234572603e-05
5	7.596412790145854e-05	3.6273450086713305e-05
6	0.0001171202938434022	5.5808683133852686e-05
7	0.0001547876631109715	8.286836354892512e-05
8	0.00020115693455558298	0.00011483859035659525
9	0.00026195412877874353	0.00015561842693377558
10	0.0003216716730632899	0.00020101189653085624
11	0.0004479543755596874	0.00025911963075907386
12	0.0005839861345371624	0.0003207255276006553
13	0.0006961257011025501	0.00039060132139550615
14	0.0010130411881805461	0.00048207427135732293
15	0.0010130411881805461	0.0005783265258301875
16	0.0013472864350562623	0.000683015933723784
17	0.0013472864350562623	0.000764497182382247
18	0.0014204633997596087	0.0008850889242169656
19	0.001507153481287302	0.0009668844969725321
20	0.0017600610193382622	0.0010264796565202107
21	0.0018258857574196265	0.001147058778724337
22	0.0020277182535732166	0.0012661076122866453
23	0.0023240983712271056	0.0013810940709439177
24	0.002600806900466521	0.0014282557522607142
25	0.002941569199703003	0.001560669720075792
26	0.002941569199703003	0.0017013380612652459
27	0.002941569199703003	0.0018257659990606899
28	0.0030357516788162902	0.0019490595434267148
29	0.0037246628694848935	0.0020138792784754446
30	0.004112060604572072	0.0021149275392203953
31	0.004375657194735978	0.002337138890586209
32	0.004375657194735978	0.002433597338383728
33	0.004375657194735978	0.0026765540125826296
34	0.0048243795508607955	0.0028113348132907698
35	0.0048243795508607955	0.0028623061726930016
36	0.004955587189764361	0.0030832622086588842
37	0.00518602295838331	0.0031119092045177586
38	0.005193856028739183	0.0032496513722195908
39	0.005377736408694967	0.0033223394838112603
40	0.006349402381858017	0.0035203386228033914
41	0.006349402381858017	0.003546318455023605
42	0.006349402381858017	0.0035822339403362995
43	0.0069952793627685115	0.0038555337772564766
44	0.0069952793627685115	0.003888066516465637
45	0.0069952793627685115	0.004144528350241931
46	0.0069952793627685115	0.004162652539620635
47	0.007735380456109894	0.004162104977016769
48	0.00842963439329253	0.004231627890071381
49	0.00842963439329253	0.004441859032577484
50	0.00851402819275401	0.004676498292423999
51	0.00851402819275401	0.005031910733291912
52	0.00851402819275401	0.005098157868838737
53	0.00851402819275401	0.005266899405694055
54	0.008623067777139296	0.005389561652589098
55	0.009601241102110405	0.005647099745456844
56	0.009791055984298108	0.0057919268423775455
57	0.009791055984298108	0.005837427411424828
58	0.009845120575270896	0.0059276985371728595
59	0.009845120575270896	0.006154981985797047
60	0.010627579230064407	0.006180274733673778
61	0.010627579230064407	0.006408402649389697
62	0.010627579230064407	0.006581529759013047
63	0.011026159786756726	0.006639709010412516
64	0.011026159786756726	0.006896188083698114
65	0.011132968364069677	0.006882560891143054
